run_name,best_val_acc,test_acc,test_loss,best_epoch,augmentation,lr,head_lr,wd,dropout,label_smoothing,freeze_backbone,trainable_parameters
base_mixup_alpha_1,0.5964596459645964,0.5946594659465947,1.760826147750731,67,light,0.001,,0.0001,0.25,0.2,False,11227812
base_froput_0.5,0.5943594359435943,0.5946594659465947,1.7534738083412222,70,light,0.001,,0.0001,0.5,0.2,False,11227812
base_lr_3e-3,0.5838583858385838,0.5925592559255926,1.8028672341645176,68,light,0.003,,0.0001,0.25,0.2,False,11227812
base_mixup_prob_0.3,0.5754575457545754,0.5883588358835884,1.8765184160399073,68,light,0.001,,0.0001,0.25,0.2,False,11227812
base_mixup_prob_0.7,0.5814581458145814,0.5883588358835884,1.8252613686814239,66,light,0.001,,0.0001,0.25,0.2,False,11227812
base_label_smoothing_0.1,0.5805580558055805,0.5877587758775877,1.7272878744707356,69,light,0.001,,0.0001,0.25,0.1,False,11227812
base_label_smoothing_0.3,0.5862586258625863,0.585958595859586,1.989481081019784,66,light,0.001,,0.0001,0.25,0.3,False,11227812
base_no_random,0.585058505850585,0.585058505850585,1.8571845975109595,68,light,0.001,,0.0001,0.25,0.2,False,11227812
base_mixup_alpha_0.4,0.5847584758475848,0.585058505850585,1.8248927070326966,66,light,0.001,,0.0001,0.25,0.2,False,11227812
base_wd_5e-4,0.5877587758775877,0.5829582958295829,1.8606636431923222,65,light,0.001,,0.0005,0.25,0.2,False,11227812
base_mixup_prob_1,0.5931593159315932,0.5811581158115812,1.8391098677128455,66,light,0.001,,0.0001,0.25,0.2,False,11227812
base_wd_1e-5,0.5835583558355836,0.5802580258025802,1.8360817145557329,68,light,0.001,,1e-05,0.25,0.2,False,11227812
base_droput_0.3,0.5787578757875788,0.57995799579958,1.8509877167984132,69,light,0.001,,0.0001,0.3,0.2,False,11227812
base_mixup_prob_0.5_70epoch,0.5793579357935793,0.5796579657965797,1.849068541230649,68,light,0.001,,0.0001,0.25,0.2,False,11227812
base_wd_1e-3,0.585058505850585,0.5784578457845785,1.8424662467848958,68,light,0.001,,0.001,0.25,0.2,False,11227812
base_droput_0.1,0.570957095709571,0.5766576657665766,1.9183447048394415,67,light,0.001,,0.0001,0.1,0.2,False,11227812
base_mixup_alpha_0,0.5655565556555655,0.5673567356735674,1.9361879896409442,66,light,0.001,,0.0001,0.25,0.2,False,11227812
base_label_smoothing_0.0,0.5673567356735674,0.5616561656165616,1.7510694480321445,62,light,0.001,,0.0001,0.25,0.0,False,11227812
base_reduce_channel,0.5358535853585359,0.5403540354035403,1.8764090482229376,69,light,0.001,,0.0001,0.25,0.2,False,2824580
base_lr_3e-4,0.5274527452745275,0.5211521152115212,2.0510495869991052,70,light,0.0003,,0.0001,0.25,0.2,False,11227812
base_batch_norm_false,0.47734773477347736,0.4896489648964896,2.0753431540511227,67,light,0.001,,0.0001,0.25,0.2,False,11223012
base_lr_1e-4,0.40564056405640564,0.40534053405340537,2.365362342756645,69,light,0.0001,,0.0001,0.25,0.2,False,11227812
base_no_aug,0.10951095109510951,0.10711071107110712,4.158695274167615,48,none,0.001,,0.0001,0.25,0.2,False,11227812
